사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
인천 12계 2021-524933,아파트,아파트,아파트,인천,부평구,"인천 부평구 산곡동 124-1 ,408,청천동 142-1,336-2 현대 502동 4층 407호","502,000,000","245,980,000",낙찰,"321,990,000",64.10%,2023-07-18,2023_3Q,3
인천 15계 2021-526243,아파트,아파트,아파트,인천,서구,"인천 서구 심곡동 336-1 ,336-8,336-9 광명 101동 2층 206호","301,000,000","147,490,000",낙찰,"200,044,444",66.50%,2023-08-09,2023_3Q,3
인천 10계 2021-526519,주상복합(주거),기타토지,기타토지,인천,부평구,인천 부평구 부평동 182-46 중앙18차 5층 503호,"90,000,000","3,632,000",낙찰,"3,833,000",4.30%,2023-12-11,2023_4Q,3
인천 13계 2021-526687,다세대,다세대주택,다세대,인천,남동구,인천 남동구 만수동 1097-19 초록마을 B동 4층 403호,"83,000,000","3,350,000",낙찰,"3,463,000",4.20%,2023-09-06,2023_3Q,3
인천 7계 2021-526885,다세대,다세대주택,다세대,인천,미추홀구,인천 미추홀구 용현동 622-89 동명센스빌 5층 502호,"92,000,000","45,080,000",낙찰,"45,080,000",49.00%,2023-12-15,2023_4Q,3
인천 22계 2021-527352,주상복합(주거),기타토지,기타토지,인천,부평구,인천 부평구 부평동 431-60 세림 1동 3층 302호,"186,000,000","3,678,000",낙찰,"4,223,000",2.30%,2023-07-28,2023_3Q,3
인천 13계 2021-527451,다세대,다세대주택,다세대,인천,남동구,인천 남동구 만수동 109-119 1동 5층 502호,"206,000,000","100,940,000",낙찰,"111,200,000",54.00%,2023-10-20,2023_4Q,3
인천 1계 2021-528928(1),다세대,다세대주택,다세대,인천,미추홀구,인천 미추홀구 주안동 1506-11 제니스17차 12층 1202호,"182,000,000","127,400,000",낙찰,"128,600,000",70.70%,2023-07-13,2023_3Q,3
인천 1계 2021-528928(2),다세대,다세대주택,다세대,인천,미추홀구,인천 미추홀구 주안동 1506-11 제니스17차 10층 1002호,"182,000,000","89,180,000",낙찰,"131,100,000",72.00%,2023-08-16,2023_3Q,3
인천 22계 2021-530143,다세대,다세대주택,다세대,인천,부평구,인천 부평구 부평동 491-3 대명아트빌 2층 203호,"132,000,000","22,185,000",낙찰,"22,185,000",16.80%,2023-07-28,2023_3Q,3
인천 3계 2021-530174(7),임야,임야,임야,인천,강화군,인천 강화군 화도면 여차리 443-11,"178,470,000","124,929,000",낙찰,"142,899,000",80.10%,2023-07-31,2023_3Q,3
인천 9계 2022-106,오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,인천 미추홀구 학익동 264-4 외 10필지 7층 713호,"113,400,000","19,059,000",낙찰,"22,000,000",19.40%,2023-09-05,2023_3Q,3
인천 13계 2022-694,임야,임야,임야,인천,강화군,인천 강화군 하점면 창후리 산39-2,"99,274,000","99,274,000",낙찰,"231,000,000",232.70%,2023-07-03,2023_3Q,3
인천 15계 2022-809,오피스텔(주거),오피스텔,오피스텔(업무용),인천,중구,인천 중구 운서동 3099-1 스카이파크리움 11층 1115호,"141,000,000","69,090,000",낙찰,"112,830,000",80.00%,2023-08-09,2023_3Q,3
인천 16계 2022-885(1),근린상가,근린상가,근린상가,인천,옹진군,"인천 옹진군 영흥면 내리 8-251 ,8-1 영흥어시장 1동 1층 111호","50,000,000","17,150,000",낙찰,"17,200,000",34.40%,2023-07-12,2023_3Q,3
인천 23계 2022-915(1),근린상가,근린상가,근린상가,인천,옹진군,"인천 옹진군 영흥면 내리 8-251 ,8-1 영흥어시장 1동 1층 101호","265,000,000","44,539,000",낙찰,"63,000,100",23.80%,2023-11-06,2023_4Q,3
