사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대전 6계 2020-14062(1),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 고운동 1373 고운에듀프라자 3층 305호,"584,422,000","286,367,000",낙찰,"362,341,640",62.0%,2021-09-29,2021_3Q,3
대전 6계 2020-14062(2),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 고운동 1373 고운에듀프라자 6층 601호,"1,827,732,000","895,588,000",낙찰,"1,188,025,800",65.0%,2021-09-29,2021_3Q,3
대전 6계 2020-14062(3),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 고운동 1373 고운에듀프라자 7층 701호,"242,228,000","83,084,000",낙찰,"138,100,000",57.0%,2021-11-03,2021_4Q,3
대전 6계 2020-14062(4),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 고운동 1373 고운에듀프라자 7층 702호,"259,966,000","89,168,000",낙찰,"138,000,000",53.1%,2021-11-03,2021_4Q,3
대전 6계 2020-14062(5),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 고운동 1373 고운에듀프라자 7층 703호,"349,227,000","119,785,000",낙찰,"186,300,000",53.3%,2021-11-03,2021_4Q,3
대전 6계 2020-14062(6),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 고운동 1373 고운에듀프라자 7층 704호,"404,145,000","198,031,000",낙찰,"200,041,000",49.5%,2021-09-29,2021_3Q,3
대전 6계 2020-14062(7),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 고운동 1373 고운에듀프라자 7층 705호,"572,368,000","196,323,000",낙찰,"274,740,000",48.0%,2021-11-03,2021_4Q,3
대전 1계 2020-14154,임야,임야,임야,세종,세종시,세종 세종시 전의면 양곡리 산57,"990,000,000","339,570,000",낙찰,"370,060,000",37.4%,2021-08-30,2021_3Q,3
대전 2계 2020-103214,중기,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 (채권자메리츠캐피탈)내 보관,"55,000,000","13,206,000",낙찰,"21,000,000",38.2%,2021-07-05,2021_3Q,3
대전 2계 2020-105739,차량,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 채권자 메리츠캐피탈(주)에게 보관,"23,000,000","16,100,000",낙찰,"20,911,000",90.9%,2021-07-05,2021_3Q,3
