사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
군산 1계 2021-2224(1),답,답,답,전북,군산시,전북 군산시 산북동 3323,"389,281,500","190,748,000",낙찰,"239,600,000",61.50%,2022-03-28,2022_1Q,3
군산 1계 2021-2224(2),답,답,답,전북,군산시,전북 군산시 산북동 1610,"433,912,500","212,617,000",낙찰,"258,700,000",59.60%,2022-03-28,2022_1Q,3
군산 4계 2021-2255(1),답,답,답,전북,군산시,전북 군산시 내초동 177-5,"411,182,000","201,479,000",낙찰,"254,700,000",61.90%,2022-02-21,2022_1Q,3
군산 4계 2021-2255(2),답,답,답,전북,군산시,전북 군산시 내초동 177-6,"411,597,000","201,683,000",낙찰,"255,100,000",62.00%,2022-02-21,2022_1Q,3
군산 4계 2021-2255(3),답,답,답,전북,군산시,전북 군산시 내초동 179-9,"409,356,000","200,584,000",낙찰,"211,000,000",51.50%,2022-02-21,2022_1Q,3
군산 4계 2021-2255(4),답,답,답,전북,군산시,전북 군산시 산북동 1457,"524,160,000","256,838,000",낙찰,"323,659,800",61.70%,2022-02-21,2022_1Q,3
군산 4계 2021-2255(5),답,답,답,전북,군산시,전북 군산시 산북동 2003,"527,625,000","258,537,000",낙찰,"305,000,000",57.80%,2022-02-21,2022_1Q,3
군산 1계 2021-2279(2),답,답,답,전북,군산시,전북 군산시 개사동 1032-1,"283,206,000","138,771,000",낙찰,"161,100,000",56.90%,2022-01-03,2022_1Q,3
군산 3계 2021-2293,묘지,기타토지,기타토지,전북,군산시,전북 군산시 임피면 술산리 487-2,"111,864,800","54,814,000",낙찰,"79,345,670",70.90%,2022-02-28,2022_1Q,3
군산 1계 2021-2378,아파트,아파트,아파트,전북,군산시,전북 군산시 나운동 45-7 군산나운주공5단지 509동 10층 1003호,"67,500,000","67,500,000",낙찰,"84,120,000",124.60%,2022-02-14,2022_1Q,3
군산 5계 2021-2415(1),답,답,답,전북,군산시,전북 군산시 옥산면 옥산리 220-4,"355,466,000","174,178,000",낙찰,"220,280,000",62.00%,2022-02-07,2022_1Q,3
군산 5계 2021-2415(2),답,답,답,전북,군산시,전북 군산시 옥산면 옥산리 220-5,"235,195,000","115,246,000",낙찰,"152,320,000",64.80%,2022-02-07,2022_1Q,3
군산 4계 2021-2453(1),임야,임야,임야,전북,군산시,전북 군산시 옥산면 남내리 산100,"75,871,600","37,177,000",낙찰,"47,177,000",62.20%,2022-02-21,2022_1Q,3
군산 3계 2021-2491,대지,나대지,나대지,전북,군산시,전북 군산시 나운동 1533-10,"398,520,000","278,964,000",낙찰,"318,000,000",79.80%,2022-01-17,2022_1Q,3
군산 4계 2021-2507,답,답,답,전북,군산시,전북 군산시 개사동 1034,"346,640,000","169,854,000",낙찰,"233,689,000",67.40%,2022-02-21,2022_1Q,3
군산 2계 2021-2538,다가구,다가구,다가구,전북,군산시,전북 군산시 서흥남동 763-23,"822,335,920","575,635,000",낙찰,"671,217,000",81.60%,2022-03-21,2022_1Q,3
군산 3계 2021-2545,임야,임야,임야,전북,군산시,전북 군산시 미룡동 산10,"540,224,000","378,157,000",낙찰,"385,000,000",71.30%,2022-02-28,2022_1Q,3
군산 3계 2021-2590(1),답,답,답,전북,군산시,전북 군산시 개정동 421-48,"6,711,500","4,698,000",낙찰,"5,032,000",75.00%,2022-02-28,2022_1Q,3
군산 3계 2021-2590(2),전,전,전,전북,군산시,전북 군산시 개정동 429-29,"5,115,000","3,581,000",낙찰,"3,835,000",75.00%,2022-02-28,2022_1Q,3
군산 3계 2021-2590(3),임야,임야,임야,전북,군산시,전북 군산시 내초동 산15-82,"3,819,000","2,673,000",낙찰,"4,201,000",110.00%,2022-05-23,2022_2Q,3
군산 4계 2021-2651,답,답,답,전북,군산시,전북 군산시 산북동 2114,"439,296,000","307,507,000",낙찰,"365,000,000",83.10%,2022-01-10,2022_1Q,3
군산 1계 2021-2675,답,답,답,전북,군산시,전북 군산시 산북동 3056,"371,925,000","260,348,000",낙찰,"365,200,000",98.20%,2022-01-03,2022_1Q,3
군산 3계 2021-2705,아파트,아파트,아파트,전북,군산시,전북 군산시 경장동 511-6 오르빌 102동 13층 1302호,"85,000,000","59,500,000",낙찰,"79,000,000",92.90%,2022-01-17,2022_1Q,3
군산 4계 2021-2743,아파트,아파트,아파트,전북,익산시,전북 익산시 동산동 87-2 삼호 4동 9층 904호,"130,000,000","130,000,000",낙찰,"138,888,000",106.80%,2022-05-16,2022_2Q,3
군산 4계 2021-2750(1),답,답,답,전북,군산시,전북 군산시 옥산면 당북리 45-20,"418,880,000","293,216,000",낙찰,"295,000,000",70.40%,2022-01-10,2022_1Q,3
군산 3계 2021-2804,답,답,답,전북,군산시,전북 군산시 산북동 3134-1,"390,906,000","273,634,000",낙찰,"300,000,000",76.70%,2022-01-17,2022_1Q,3
군산 4계 2021-2811,전,전,전,전북,군산시,전북 군산시 옥도면 개야도리 713,"21,735,000","21,735,000",낙찰,"23,000,000",105.80%,2022-01-10,2022_1Q,3
군산 1계 2021-2835(1),연립,연립주택,연립·빌라,전북,익산시,"전북 익산시 동산동 215-68 ,213-51 원그린파크 5층 501호","132,000,000","64,680,000",낙찰,"87,500,000",66.30%,2022-02-14,2022_1Q,3
군산 1계 2021-2835(2),연립,연립주택,연립·빌라,전북,익산시,"전북 익산시 동산동 215-68 ,231-51 원그린파크 5층 503호","201,000,000","98,490,000",낙찰,"112,340,000",55.90%,2022-05-09,2022_2Q,3
군산 2계 2021-2842(1),대지,나대지,나대지,전북,익산시,전북 익산시 동산동 213-2,"120,090,000","120,090,000",낙찰,"131,910,000",109.80%,2022-05-02,2022_2Q,3
군산 2계 2021-2842(2),연립,연립주택,연립·빌라,전북,익산시,"전북 익산시 동산동 215-68 ,213-51 원그린파크 3층 303호","205,000,000","100,450,000",낙찰,"101,000,000",49.30%,2022-03-21,2022_1Q,3
군산 3계 2021-2903,공장,공장(지식산업센터 업무시설),공장,전북,익산시,전북 익산시 삼기면 기산리 842-57,"1,393,118,600","975,183,000",낙찰,"1,184,800,000",85.00%,2022-02-28,2022_1Q,3
군산 5계 2021-2910,아파트,아파트,아파트,전북,익산시,전북 익산시 마동 81-32 우남고층 7층 703호,"71,000,000","34,790,000",낙찰,"40,000,000",56.30%,2022-04-25,2022_2Q,3
군산 2계 2021-2934,아파트,아파트,아파트,전북,익산시,전북 익산시 영등동 815 부영 303동 4층 401호,"85,000,000","59,500,000",낙찰,"87,000,000",102.40%,2022-02-07,2022_1Q,3
군산 3계 2021-2941,아파트,아파트,아파트,전북,군산시,전북 군산시 나운동 345 롯데 107동 2층 205호,"144,000,000","100,800,000",낙찰,"138,130,000",95.90%,2022-02-28,2022_1Q,3
군산 4계 2021-2958,근린주택,근린주택,근린주택,전북,군산시,"전북 군산시 신풍동 999-9 ,-10","101,368,340","70,958,000",낙찰,"85,000,000",83.90%,2022-01-10,2022_1Q,3
군산 5계 2021-3029(1),아파트,아파트,아파트,전북,군산시,전북 군산시 대명동 384-90 아이플러스시티 102동 6층 601호,"96,000,000","67,200,000",낙찰,"76,219,800",79.40%,2022-02-07,2022_1Q,3
군산 5계 2021-3029(2),아파트,아파트,아파트,전북,군산시,전북 군산시 대명동 384-90 아이플러스시티 102동 7층 702호,"97,000,000","67,900,000",낙찰,"71,250,000",73.50%,2022-02-07,2022_1Q,3
군산 5계 2021-3029(3),아파트,아파트,아파트,전북,군산시,전북 군산시 대명동 384-90 아이플러스시티 102동 7층 703호,"96,000,000","67,200,000",낙찰,"76,219,800",79.40%,2022-02-07,2022_1Q,3
군산 2계 2021-3036,단독주택,단독,단독주택,전북,익산시,전북 익산시 송학동 97-96,"13,014,400","9,110,000",낙찰,"9,600,000",73.80%,2022-03-21,2022_1Q,3
군산 4계 2021-3050,공장,공장(지식산업센터 업무시설),공장,전북,군산시,전북 군산시 오식도동 813-25 제1동호,"3,005,515,400","1,472,703,000",낙찰,"2,001,160,000",66.60%,2022-02-21,2022_1Q,3
군산 5계 2021-3067,근린상가,근린상가,근린상가,전북,군산시,전북 군산시 수송동 832-7 페라가모빌딩,"2,108,198,400","1,475,739,000",낙찰,"1,520,000,000",72.10%,2022-02-07,2022_1Q,3
군산 4계 2021-3104,다가구,다가구,다가구,전북,군산시,전북 군산시 오식도동 622-4 제1동호,"563,905,960","276,314,000",낙찰,"419,999,999",74.50%,2022-06-27,2022_2Q,3
군산 1계 2021-3128,연립,연립주택,연립·빌라,전북,익산시,"전북 익산시 신용동 321 ,-1,-10 그린빌리지 101동 1층 101호","165,000,000","115,500,000",낙찰,"126,110,000",76.40%,2022-01-03,2022_1Q,3
군산 3계 2021-3142(1),답,답,답,전북,익산시,전북 익산시 여산면 원수리 872-2,"4,611,930","2,260,000",낙찰,"2,300,000",49.90%,2022-05-23,2022_2Q,3
군산 3계 2021-3142(2),답,답,답,전북,익산시,전북 익산시 여산면 원수리 872-5,"8,638,170","4,233,000",낙찰,"4,300,000",49.80%,2022-05-23,2022_2Q,3
군산 3계 2021-3142(3),전,전,전,전북,익산시,전북 익산시 여산면 원수리 1079-1,"14,181,700","6,949,000",낙찰,"6,949,000",49.00%,2022-05-23,2022_2Q,3
군산 4계 2021-3159,아파트,아파트,아파트,전북,군산시,전북 군산시 소룡동 1349 금강골드빌 105동 3층 302호,"121,000,000","84,700,000",낙찰,"114,250,000",94.40%,2022-02-21,2022_1Q,3
군산 5계 2021-3166(1),임야,임야,임야,전북,익산시,전북 익산시 삼기면 연동리 산38,"37,630,280","26,341,000",낙찰,"28,378,900",75.40%,2022-04-25,2022_2Q,3
군산 5계 2021-3166(2),임야,임야,임야,전북,익산시,전북 익산시 낭산면 성남리 산97-3,"9,232,200","6,463,000",낙찰,"7,278,900",78.80%,2022-04-25,2022_2Q,3
군산 5계 2021-3166(3),임야,임야,임야,전북,익산시,전북 익산시 낭산면 성남리 산97-4,"5,929,400","4,151,000",낙찰,"4,678,900",78.90%,2022-04-25,2022_2Q,3
군산 1계 2021-3227,답,답,답,전북,군산시,전북 군산시 산북동 792-19,"56,100,000","19,242,000",낙찰,"26,101,000",46.50%,2022-03-28,2022_1Q,3
군산 2계 2021-3234,근린주택,근린주택,근린주택,전북,군산시,전북 군산시 중앙로1가 2-4,"786,007,020","550,205,000",낙찰,"674,000,100",85.70%,2022-05-02,2022_2Q,3
군산 4계 2021-3258,아파트,아파트,아파트,전북,익산시,전북 익산시 모현동1가 111-1 모현명일 18층 1806호,"64,000,000","44,800,000",낙찰,"61,600,000",96.30%,2022-02-21,2022_1Q,3
군산 3계 2021-3296,차량,기타토지,기타토지,전북,군산시,"전북 군산시 구암동 280-3 다온(대표자:유양선,063-445-3576)보관","35,000,000","24,500,000",낙찰,"30,800,000",88.00%,2022-01-17,2022_1Q,3
군산 4계 2021-3302,아파트,아파트,아파트,전북,군산시,"전북 군산시 월명동 23-1 ,-5,24-9,-10,-11,38-84,-85 클래시움 203동 8층 806호","240,000,000","240,000,000",낙찰,"251,000,000",104.60%,2022-01-10,2022_1Q,3
군산 1계 2021-3326,아파트,아파트,아파트,전북,익산시,전북 익산시 어양동 621 어양주공5단지 505동 1층 103호,"111,000,000","77,700,000",낙찰,"87,300,000",78.60%,2022-01-03,2022_1Q,3
군산 3계 2021-3357,아파트,아파트,아파트,전북,익산시,전북 익산시 마동 30-4 상우맨션 2동 4층 404호,"61,000,000","42,700,000",낙찰,"56,100,000",92.00%,2022-01-17,2022_1Q,3
군산 4계 2021-3364,아파트,아파트,아파트,전북,익산시,전북 익산시 영등동 768-1 영등동제일 106동 11층 1101호,"41,700,000","41,700,000",낙찰,"42,100,000",101.00%,2022-01-10,2022_1Q,3
군산 5계 2021-3371,아파트,아파트,아파트,전북,군산시,전북 군산시 나운동 760-1 성경파스텔 7층 703호,"103,000,000","72,100,000",낙찰,"80,340,000",78.00%,2022-03-14,2022_1Q,3
군산 3계 2021-3395,근린상가,근린상가,근린상가,전북,군산시,"전북 군산시 중앙로1가 23-1 ,영동 9-12","176,494,000","60,537,000",낙찰,"91,700,000",52.00%,2022-04-11,2022_2Q,3
군산 2계 2021-3432,아파트,아파트,아파트,전북,군산시,전북 군산시 미룡동 59-59 은파리젠시빌파크 102동 11층 1104호,"226,000,000","226,000,000",낙찰,"230,112,000",101.80%,2022-02-07,2022_1Q,3
군산 3계 2021-3449,답,답,답,전북,군산시,전북 군산시 내초동 204-6,"540,504,000","264,847,000",낙찰,"371,252,000",68.70%,2022-04-11,2022_2Q,3
군산 4계 2021-3456(1),답,답,답,전북,군산시,전북 군산시 옥산면 당북리 28-8,"274,805,000","134,655,000",낙찰,"183,757,000",66.90%,2022-05-16,2022_2Q,3
군산 4계 2021-3456(2),답,답,답,전북,군산시,전북 군산시 옥산면 당북리 213-3,"303,960,000","148,940,000",낙찰,"202,000,000",66.50%,2022-05-16,2022_2Q,3
군산 4계 2021-3456(3),답,답,답,전북,군산시,전북 군산시 옥산면 당북리 1018-7,"213,710,000","149,597,000",낙찰,"160,330,000",75.00%,2022-04-04,2022_2Q,3
군산 2계 2021-3487,단독주택,단독,단독주택,전북,군산시,전북 군산시 신관동 759-2,"151,363,520","74,168,000",낙찰,"92,710,000",61.20%,2022-06-13,2022_2Q,3
군산 3계 2021-3494(1),전,전,전,전북,익산시,전북 익산시 신흥동 573,"105,896,500","105,896,500",낙찰,"106,000,000",100.10%,2022-01-17,2022_1Q,3
군산 3계 2021-3494(2),답,답,답,전북,익산시,전북 익산시 신흥동 573-1,"96,922,000","96,922,000",낙찰,"97,200,000",100.30%,2022-01-17,2022_1Q,3
군산 1계 2021-3524(1),임야,임야,임야,전북,익산시,전북 익산시 여산면 제남리 590,"1,080,000","756,000",낙찰,"800,000",74.10%,2022-01-03,2022_1Q,3
군산 1계 2021-3524(4),임야,임야,임야,전북,익산시,전북 익산시 여산면 원수리 산162-6,"28,233,800","19,764,000",낙찰,"25,000,000",88.50%,2022-01-03,2022_1Q,3
군산 4계 2021-3586,아파트,아파트,아파트,전북,군산시,전북 군산시 미룡동 857 미룡2차대명 202동 4층 405호,"50,000,000","35,000,000",낙찰,"43,000,000",86.00%,2022-02-21,2022_1Q,3
군산 1계 2021-3593(1),답,답,답,전북,군산시,전북 군산시 옥산면 옥산리 179-9,"324,336,000","158,925,000",낙찰,"204,100,000",62.90%,2022-02-14,2022_1Q,3
군산 1계 2021-3593(2),답,답,답,전북,군산시,전북 군산시 옥산면 옥산리 517-3,"344,520,000","168,815,000",낙찰,"206,398,170",59.90%,2022-02-14,2022_1Q,3
군산 1계 2021-3616,대지,나대지,나대지,전북,익산시,전북 익산시 모현동1가 718-2,"72,498,000","72,498,000",낙찰,"101,100,000",139.50%,2022-01-03,2022_1Q,3
군산 4계 2021-3630,답,답,답,전북,군산시,전북 군산시 산북동 3058,"371,925,000","260,348,000",낙찰,"295,500,000",79.50%,2022-04-04,2022_2Q,3
군산 1계 2021-3692,근린주택,근린주택,근린주택,전북,군산시,전북 군산시 오식도동 648-8,"221,024,370","154,717,000",낙찰,"180,000,000",81.40%,2022-05-09,2022_2Q,3
군산 3계 2021-3708(1),전,전,전,전북,익산시,전북 익산시 함라면 신목리 746-1,"19,328,200","9,471,000",낙찰,"10,000,000",51.70%,2022-05-23,2022_2Q,3
군산 3계 2021-3708(2),대지,나대지,나대지,전북,익산시,전북 익산시 함라면 신목리 758-1,"3,843,000","2,690,000",낙찰,"3,269,000",85.10%,2022-05-23,2022_2Q,3
군산 3계 2021-3760,답,답,답,전북,군산시,전북 군산시 산북동 2897-1,"376,808,000","184,636,000",낙찰,"238,818,000",63.40%,2022-05-23,2022_2Q,3
군산 4계 2021-3821,근린주택,근린주택,근린주택,전북,군산시,전북 군산시 삼학동 795-9,"127,663,000","62,555,000",낙찰,"72,000,000",56.40%,2022-04-04,2022_2Q,3
군산 5계 2021-3838(2),근린상가,근린상가,근린상가,전북,군산시,전북 군산시 오식도동 988 오뚜기빌딩 2층 201호,"532,784,000","261,064,000",낙찰,"280,100,000",52.60%,2022-04-25,2022_2Q,3
군산 1계 2021-3845,대지,나대지,나대지,전북,익산시,전북 익산시 중앙동1가 42-8,"55,319,600","55,319,600",낙찰,"65,910,000",119.10%,2022-02-14,2022_1Q,3
군산 5계 2021-3883,아파트,아파트,아파트,전북,군산시,전북 군산시 미룡동 857 미룡2차대명 202동 3층 305호,"46,000,000","32,200,000",낙찰,"43,777,000",95.20%,2022-03-14,2022_1Q,3
군산 3계 2021-3913,아파트,아파트,아파트,전북,군산시,전북 군산시 소룡동 857 그린서해맨션 101동 1층 112호,"42,000,000","29,400,000",낙찰,"43,010,000",102.40%,2022-04-11,2022_2Q,3
군산 4계 2021-3920,근린상가,근린상가,근린상가,전북,군산시,전북 군산시 비응도동 78 새만금종합수산시장 1층 디-401호,"277,000,000","95,011,000",낙찰,"136,432,123",49.30%,2022-05-16,2022_2Q,3
군산 1계 2021-3944(2),답,답,답,전북,군산시,전북 군산시 개정면 발산리 267,"109,760,000","109,760,000",낙찰,"109,820,000",100.10%,2022-01-03,2022_1Q,3
군산 4계 2021-3975,아파트,아파트,아파트,전북,군산시,전북 군산시 나운동 734-1 동신진주 103동 5층 503호,"44,100,000","30,870,000",낙찰,"37,799,999",85.70%,2022-04-04,2022_2Q,3
