사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대전 10계 2024-111602,아파트,아파트,아파트,충남,금산군,충남 금산군 금산읍 중도리 170 도담도담채 101동 4층 404호,"247,000,000","172,900,000",낙찰,"225,800,000",91.4%,2025-05-22,2025_2Q,2
대전 8계 2024-115161,답,답,답,충남,금산군,충남 금산군 추부면 신평리 862,"33,300,000","33,300,000",낙찰,"33,500,000",100.6%,2025-02-27,2025_1Q,3
대전 3계 2024-116386(1),답,답,답,충남,금산군,충남 금산군 금산읍 아인리 463,"85,592,000","85,592,000",낙찰,"86,500,000",101.1%,2025-05-28,2025_2Q,2
대전 4계 2024-116409,전,전,전,충남,금산군,충남 금산군 금산읍 상리 306-1,"785,170,000","269,313,000",낙찰,"341,600,000",43.5%,2025-06-05,2025_2Q,2
대전 8계 2024-116447,단독주택,단독,단독주택,충남,금산군,충남 금산군 금산읍 상리 306-17,"247,362,330","121,208,000",낙찰,"175,880,000",71.1%,2025-05-08,2025_2Q,2
천안 7계 2021-1765,아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 성환읍 수향리 214-9 직산근로자 1동 3층 302호,"25,000,000","25,000,000",낙찰,"27,221,000",108.9%,2025-03-25,2025_1Q,2
천안 1계 2021-105797,답,답,답,충남,아산시,충남 아산시 송악면 수곡리 170,"15,313,500","3,676,000",낙찰,"3,810,000",24.9%,2025-04-08,2025_2Q,2
천안 5계 2021-109775,단독주택,단독,단독주택,충남,천안시,충남 천안시 서북구 입장면 기로리 373-27 1동,"3,158,971,260","1,083,527,000",낙찰,"1,615,000,000",51.1%,2025-03-19,2025_1Q,3
천안 6계 2022-100805,문화집회시설,기타건물,기타건물,충남,아산시,"충남 아산시 실옥동 181 ,-10,-86,-88,-95","5,132,661,849","1,760,503,000",낙찰,"1,950,000,000",38.0%,2025-04-22,2025_2Q,2
천안 2계 2022-102382,아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 불당동 1498 천안불당지웰푸르지오 102동 3층 304호,"861,000,000","602,700,000",낙찰,"637,000,000",74.0%,2025-01-13,2025_1Q,3
천안 7계 2022-102894,아파트,아파트,아파트,충남,아산시,충남 아산시 배방읍 공수리 1487 배방역효성해링턴플레이스 103동 17층 1701호,"434,000,000","303,800,000",낙찰,"335,578,000",77.3%,2025-02-18,2025_1Q,3
천안 2계 2022-103408,아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 불당동 1846 불당호반써밋플레이스센터시티 308동 22층 2201호,"905,000,000","633,500,000",낙찰,"661,700,000",73.1%,2025-01-13,2025_1Q,3
천안 7계 2022-108977,아파트,아파트,아파트,충남,아산시,충남 아산시 둔포면 석곡리 1793 아산테크노밸리이지더원6단지 608동 17층 1704호,"274,648,000","134,578,000",낙찰,"201,150,000",73.2%,2025-03-25,2025_1Q,2
천안 7계 2022-109420,아파트,아파트,아파트,충남,아산시,"충남 아산시 온천동 1235 ,1073-1,1076-1,1078-2,1097-2,1289 일성 103동 12층 1201호","134,000,000","93,800,000",낙찰,"106,550,000",79.5%,2025-03-25,2025_1Q,2
천안 2계 2023-1684,아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 불당동 1503 불당이안 505동 23층 2301호,"592,000,000","414,400,000",낙찰,"503,509,999",85.1%,2025-02-24,2025_1Q,3
천안 6계 2023-2045,공장,공장(지식산업센터 업무시설),공장,충남,아산시,충남 아산시 둔포면 관대리 122-11 A동,"4,177,211,150","2,924,048,000",낙찰,"3,010,000,000",72.1%,2025-02-11,2025_1Q,3
천안 4계 2023-2168,근린상가,근린상가,근린상가,충남,천안시,"충남 천안시 서북구 부대동 418-21 ,418-18,성성동 1-11 3동호","2,272,289,250","1,590,602,000",낙찰,"1,590,602,000",70.0%,2025-03-24,2025_1Q,3
천안 1계 2023-2274(1),근린상가,근린상가,근린상가,충남,아산시,충남 아산시 신창면 남성리 189-12 서주프라자 3층 303호,"489,000,000","239,610,000",낙찰,"242,200,000",49.5%,2025-01-21,2025_1Q,3
천안 1계 2023-2274(2),근린상가,근린상가,근린상가,충남,아산시,충남 아산시 신창면 남성리 189-12 서주프라자 3층 303-3호,"916,000,000","219,932,000",낙찰,"239,101,000",26.1%,2025-06-17,2025_2Q,2
천안 5계 2023-3154,아파트,아파트,아파트,충남,천안시,충남 천안시 서북구 백석동 924 백석벽산블루밍2차 203동 9층 903호,"330,000,000","161,700,000",낙찰,"231,770,000",70.2%,2025-04-23,2025_2Q,2
천안 4계 2023-3895,다세대,다세대주택,다세대,충남,아산시,충남 아산시 탕정면 명암리 41-1 베리움타운하우스3단지 301동 복수층 302호,"450,000,000","315,000,000",낙찰,"320,500,000",71.2%,2025-04-28,2025_2Q,2
천안 2계 2023-4317,임야,임야,임야,충남,천안시,충남 천안시 서북구 입장면 유리 390-14,"1,318,705,000","452,316,000",낙찰,"552,300,000",41.9%,2025-01-13,2025_1Q,3
천안 2계 2023-4584,답,답,답,충남,아산시,충남 아산시 배방읍 세출리 305-6,"373,396,000","89,653,000",낙찰,"129,970,000",34.8%,2025-01-13,2025_1Q,3
천안 1계 2023-4706(1),전,전,전,충남,천안시,충남 천안시 서북구 성환읍 율금리 333-1,"123,000,000","60,375,000",낙찰,"87,080,000",70.8%,2025-03-04,2025_1Q,3
천안 1계 2023-4706(2),체육용지,기타토지,기타토지,충남,천안시,충남 천안시 서북구 성환읍 율금리 43-1,"33,810,000","33,810,000",낙찰,"34,000,000",100.6%,2025-01-21,2025_1Q,3
천안 1계 2023-4706(4),과수원,과수원,과수원,충남,천안시,충남 천안시 서북구 성환읍 율금리 960,"224,403,000","109,957,000",낙찰,"162,000,000",72.2%,2025-04-08,2025_2Q,2
천안 7계 2023-5006,임야,임야,임야,충남,아산시,충남 아산시 신창면 읍내리 579-75,"145,035,110","71,068,000",낙찰,"83,100,000",57.3%,2025-06-04,2025_2Q,2
천안 2계 2023-5419(1),주상복합(상가),기타토지,기타토지,충남,천안시,충남 천안시 서북구 두정동 1418 해피드림4차 1층 103호,"905,000,000","152,104,000",낙찰,"221,360,000",24.5%,2025-01-13,2025_1Q,3
