사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
제주 2계 2003-2194,아파트,제주 제주시 일도이동 377-9 인제 2동 1층 101호,"38,000,000","26,600,000",취하(1/1),0,0%,2003.08.25
제주 3계 2003-2200,단독주택,제주 제주시 이도이동 1016-3,"145,966,600","145,966,600",취하(0/0),0,0%,2003.08.07
제주 3계 2003-2217,과수원,제주 서귀포시 상효동 468,"72,800,000","50,960,000",낙찰(1/2),"55,000,000",75.5%,2003.08.11
제주 2계 2003-2224,연립,제주 서귀포시 대정읍 상모리 3844 한라연립 나동 1층 101호,"58,000,000","28,420,000",낙찰(2/3),"29,100,000",50.2%,2003.09.29
제주 3계 2003-2231,다세대,제주 서귀포시 표선면 표선리 580-8 2층 202호,"45,000,000","22,050,000",낙찰(2/3),"26,610,000",59.1%,2003.09.15
제주 1계 2003-2248,전,제주 제주시 한림읍 상명리 499,"21,685,000","21,685,000",낙찰(0/1),"21,900,000",101.0%,2003.07.28
제주 2계 2003-2255(1),아파트상가,"제주 제주시 일도이동 113-7 대유,대림 상가동 1층 116호","23,000,000","11,270,000",낙찰(2/3),"13,870,000",60.3%,2003.09.29
제주 2계 2003-2255(2),아파트상가,"제주 제주시 일도이동 113-7 대유,대림 상가동 1층 117호","27,000,000","13,230,000",낙찰(2/3),"16,530,000",61.2%,2003.09.29
제주 3계 2003-2262,대지,제주 서귀포시 대정읍 가파리 219,"4,665,000","4,665,000",낙찰(0/2),"7,500,000",160.8%,2003.10.20
제주 1계 2003-2279(1),목장용지,제주 제주시 한경면 청수리 290,"46,655,500","46,655,500",취하(0/0),0,0%,2003.10.06
제주 1계 2003-2279(2),전,제주 제주시 한경면 청수리 563,"58,038,000","58,038,000",취하(0/0),0,0%,2003.10.06
제주 3계 2003-2293,전,제주 제주시 한림읍 금능리 1831-2,"14,380,000","14,380,000",낙찰(0/1),"24,050,000",167.2%,2003.07.07
제주 3계 2003-2323,단독주택,제주 서귀포시 하원동 359-1,"84,952,000","41,626,000",낙찰(2/3),"47,000,000",55.3%,2003.09.15
제주 2계 2003-2347,아파트,제주 제주시 도남동 46-1 도남성원3차 6층 702호,"66,000,000","46,200,000",낙찰(1/2),"55,010,000",83.3%,2003.08.25
제주 3계 2003-2354,다세대,제주 제주시 이도이동 1015-24 2층 201호,"60,000,000","42,000,000",낙찰(1/2),"52,600,000",87.7%,2003.08.11
제주 1계 2003-2361,아파트,제주 제주시 용담이동 609-68 남양맨션 가동 4층 505호,"62,000,000","30,380,000",낙찰(2/3),"40,500,000",65.3%,2003.10.06
제주 1계 2003-2392,단독주택,제주 서귀포시 성산읍 수산리 407,"80,751,000","56,526,000",낙찰(1/2),"60,000,000",74.3%,2003.09.01
제주 2계 2003-2408,대지,제주 서귀포시 성산읍 고성리 307-10,"16,500,000","16,500,000",취하(0/0),0,0%,2003.07.21
제주 2계 2003-2415(1),전,제주 서귀포시 표선면 하천리 199-2,"31,215,000","10,706,740",낙찰(3/4),"12,610,000",40.4%,2003.11.03
제주 2계 2003-2415(2),과수원,제주 서귀포시 표선면 하천리 172,"33,308,000","11,424,640",낙찰(3/4),"15,670,000",47.0%,2003.11.03
제주 1계 2003-2422,임야,제주 제주시 해안동 산216-28,"11,571,000","11,571,000",낙찰(0/1),"15,953,000",137.9%,2003.07.28
제주 2계 2003-2460,단독주택,제주 제주시 한림읍 대림리 2018-7,"59,159,000","28,987,910",낙찰(2/3),"30,300,000",51.2%,2003.09.29
제주 3계 2003-2477(1),과수원,제주 제주시 한림읍 금능리 27,"14,316,000","14,316,000",변경(0/0),0,0%,2003.08.11
제주 3계 2003-2477(2),과수원,제주 제주시 한림읍 금능리 219-1,"12,372,000","12,372,000",변경(0/0),0,0%,2003.08.11
제주 3계 2003-2507,단독주택,제주 제주시 삼도일동 707-26,"96,722,720","67,706,000",낙찰(1/2),"76,010,000",78.6%,2003.09.15
제주 1계 2003-2514,아파트,제주 제주시 용담삼동 505 용두암1차현대 102동 2층 204호,"80,000,000","56,000,000",낙찰(1/2),"77,000,000",96.3%,2003.09.01
제주 2계 2003-2521,차량,제주 제주시 용담삼동 966-1 보관,"13,000,000","9,100,000",낙찰(1/2),"11,700,000",90.0%,2003.08.25
제주 2계 2003-2583,단독주택,제주 서귀포시 대정읍 보성리 1248-1,"34,009,000","34,009,000",취하(0/0),0,0%,2003.07.21
제주 2계 2003-2606,대지,제주 서귀포시 대정읍 상모리 3757-1,"83,130,000","58,191,000",낙찰(1/2),"65,100,000",78.3%,2003.08.25
제주 2계 2003-2613,차량,제주 제주시 용담삼동 966-1 보관,"11,000,000","11,000,000",낙찰(0/1),"11,700,000",106.4%,2003.07.21
제주 3계 2003-2620,전,제주 서귀포시 대정읍 상모리 2800,"117,228,000","117,228,000",낙찰(0/1),"164,111,000",140.0%,2003.07.07
제주 1계 2003-2668(1),전,제주 서귀포시 안덕면 사계리 3570,"111,000,000","111,000,000",낙찰(0/1),"167,700,000",151.1%,2003.07.28
제주 1계 2003-2668(2),전,제주 서귀포시 대정읍 상모리 96-1,"83,985,000","83,985,000",낙찰(0/1),"193,270,000",230.1%,2003.07.28
제주 3계 2003-2682(2),다세대,제주 제주시 이도이동 1021-2 지층 002호,"60,000,000","29,400,000",낙찰(2/3),"35,020,000",58.4%,2003.10.20
제주 2계 2003-2705,전,제주 제주시 한림읍 금악리 2931,"29,848,000","20,893,600",낙찰(1/2),"31,000,000",103.9%,2003.08.25
제주 2계 2003-2729,근린상가,제주 제주시 일도이동 158-13,"189,360,710","132,552,490",낙찰(1/2),"135,000,000",71.3%,2003.08.25
제주 3계 2003-2743,다세대,제주 제주시 연동 2317-3 삼미 2층 202호,"65,000,000","45,500,000",낙찰(1/2),"55,550,000",85.5%,2003.08.11
제주 2계 2003-2767(1),임야,제주 서귀포시 안덕면 감산리 1081,"7,542,000","3,695,580",낙찰(2/3),"4,270,000",56.6%,2003.09.29
제주 2계 2003-2767(2),전,제주 서귀포시 안덕면 감산리 1082,"7,190,000","3,523,100",낙찰(2/3),"3,700,000",51.5%,2003.09.29
제주 1계 2003-2774,임야,제주 제주시 애월읍 구엄리 926-4,"5,060,000","5,060,000",낙찰(0/1),"18,000,000",355.7%,2003.11.10
제주 1계 2003-2781,전,제주 제주시 오라이동 1186,"227,760,000","227,760,000",낙찰(0/1),"308,950,000",135.6%,2003.07.28
제주 2계 2003-2798,전,제주 서귀포시 서홍동 2444,"15,840,000","15,840,000",낙찰(0/1),"16,000,000",101.0%,2003.07.21
제주 3계 2003-2804,단독주택,제주 서귀포시 동홍동 1593-1,"26,466,000","18,526,000",낙찰(1/3),"20,200,000",76.3%,2003.11.24
제주 1계 2003-2811,아파트,제주 서귀포시 중문동 1999-2 외1 민우중문 라동 3층 306호,"50,000,000","50,000,000",취하(0/0),0,0%,2003.07.28
제주 2계 2003-2828,전,제주 서귀포시 성산읍 시흥리 732,"87,666,000","61,366,200",낙찰(1/2),"72,425,500",82.6%,2003.08.25
제주 3계 2003-2835,축사,제주 서귀포시 남원읍 위미리 2460-6,"721,704,500","353,635,000",낙찰(2/3),"385,550,000",53.4%,2003.09.15
제주 1계 2003-2842(1),과수원,제주 제주시 애월읍 곽지리 312-1,"46,323,000","32,426,000",낙찰(1/2),"41,000,000",88.5%,2003.09.01
제주 1계 2003-2842(2),대지,제주 제주시 애월읍 납읍리 2244,"25,400,000","17,780,000",낙찰(1/2),"21,250,000",83.7%,2003.09.01
제주 2계 2003-2859(2),전,제주 제주시 애월읍 봉성리 3452-5,"29,310,000","29,310,000",낙찰(1/2),"41,500,000",141.6%,2003.12.08
제주 3계 2003-2866(2),단독주택,제주 서귀포시 표선면 하천리 588-1,"35,037,000","17,168,000",낙찰(2/3),"17,168,000",49.0%,2003.12.29
제주 1계 2003-2873(1),대지,제주 서귀포시 표선면 표선리 691,"98,500,000","68,950,000",취하(1/1),0,0%,2003.09.01
제주 1계 2003-2873(2),연립,제주 서귀포시 표선면 표선리 692 4층 502호,"55,000,000","26,950,000",낙찰(1/2),"32,550,000",59.2%,2003.10.06
제주 2계 2003-2880,단독주택,제주 서귀포시 표선면 세화리 196-3,"29,048,000","29,048,000",낙찰(0/1),"45,625,000",157.1%,2003.08.25
제주 3계 2003-2897,창고,제주 제주시 화북일동 4107-1,"285,729,000","285,729,000",취하(0/0),0,0%,2003.11.24
제주 1계 2003-2903,단독주택,제주 제주시 한림읍 금악리 1025,"299,221,000","299,221,000",낙찰(0/1),"301,000,000",100.6%,2003.07.28
제주 3계 2003-2927,아파트,제주 서귀포시 동홍동 119 동홍주공 202동 3층 303호,"37,000,000","25,900,000",낙찰(1/2),"28,350,000",76.6%,2003.08.11
제주 1계 2003-2934,연립,제주 제주시 용담이동 885-12 3층 302호,"65,000,000","45,500,000",낙찰(1/2),"50,210,000",77.2%,2003.09.01
제주 2계 2003-2972,다세대,제주 서귀포시 동홍동 413-6 태성 1층 101호,"60,000,000","42,000,000",낙찰(1/2),"43,610,000",72.7%,2003.11.03
제주 2계 2003-3005,임야,제주 서귀포시 성산읍 고성리 1123-2,"201,372,000","140,960,400",낙찰(1/2),"162,000,000",80.4%,2003.08.25
제주 3계 2003-3012,전,제주 서귀포시 대정읍 상모리 2637,"101,220,000","101,220,000",취하(0/0),0,0%,2003.07.07
제주 3계 2003-3043,임야,제주 서귀포시 남원읍 남원리 1297-9,"73,800,000","25,313,000",낙찰(3/4),"33,520,000",45.4%,2003.12.29
제주 2계 2003-3067(1),과수원,제주 서귀포시 상효동 518-3,"112,935,000","79,055,000",취하(1/1),0,0%,2003.09.29
제주 2계 2003-3067(2),과수원,제주 서귀포시 상효동 825-1,"136,045,000","95,232,000",취하(1/1),0,0%,2003.12.08
제주 2계 2003-3067(4),전,제주 서귀포시 동홍동 1163,"33,630,000","33,630,000",취하(0/0),0,0%,2003.12.08
제주 1계 2003-3111,아파트,제주 제주시 일도이동 113-6 일도우성 204동 4층 403호,"110,000,000","77,000,000",낙찰(1/2),"105,120,000",95.6%,2003.09.01
제주 2계 2003-3128,차량,제주 제주시 화북일동 3797-1 보관,"9,000,000","4,410,000",낙찰(2/3),"4,500,000",50.0%,2003.09.29
제주 2계 2003-3159,대지,제주 서귀포시 서호동 1460-11,"83,124,000","58,186,800",낙찰(1/2),"65,200,000",78.4%,2003.08.25
제주 3계 2003-3166,연립,제주 서귀포시 서홍동 327-1 천지 A동 1층 3호,"40,000,000","28,000,000",낙찰(1/2),"31,152,000",77.9%,2003.12.29
제주 1계 2003-3173,임야,제주 제주시 애월읍 납읍리 442,"1,520,000","1,520,000",낙찰(0/2),"3,300,000",217.1%,2003.10.06
