사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
충주 1계 2007-7986(4),전,충북 음성군 원남면 삼용리 551,"58,842,000","33,099,000",낙찰(2/3),"38,980,000",66.2%,2008.08.26
충주 1계 2007-7986(5),대지,충북 음성군 원남면 삼용리 557-1,"16,104,000","9,059,000",낙찰(2/3),"9,510,000",59.1%,2008.08.26
충주 2계 2007-7993,아파트상가,충북 음성군 대소면 부윤리 130-17 무궁화아파트상가 상가동 1층 101호,"228,800,000","228,800,000",낙찰(0/1),"240,220,000",105.0%,2008.07.08
충주 3계 2007-8002,단독주택,충북 충주시 용산동 2138,"96,883,640","72,663,000",낙찰(1/2),"90,110,000",93.0%,2008.07.15
충주 2계 2007-8057,답,충북 충주시 산척면 송강리 383,"30,201,000","30,201,000",기각(0/0),0,0%,2008.07.02
충주 2계 2007-8088,임야,충북 충주시 연수동 산35-48,"103,512,000","77,634,000",낙찰(1/2),"77,650,000",75.0%,2008.08.12
충주 1계 2007-8101,공장,충북 충주시 풍동 568-2 가동,"955,026,200","716,270,000",낙찰(1/2),"721,110,000",75.5%,2008.07.22
충주 2계 2007-8118,아파트,충북 충주시 연수동 418 외 2필지 하나 2동 4층 405호,"90,000,000","67,500,000",취하(1/1),0,0%,2008.08.12
충주 1계 2007-8132,공장,충북 음성군 삼성면 천평리 463-7 가동호,"2,556,986,520","1,917,740,000",취하(3/3),0,0%,2008.08.04
충주 2계 2007-8149,답,충북 충주시 신니면 마수리 236,"351,992,000","263,994,000",낙찰(1/2),"278,200,000",79.0%,2008.08.12
충주 2계 2007-8200,근린주택,충북 충주시 연수동 1257,"257,445,000","144,813,000",낙찰(2/3),"188,800,000",73.3%,2008.09.16
충주 2계 2007-8231,임야,충북 충주시 엄정면 목계리 산25-1,"25,980,000","19,485,000",낙찰(1/3),"25,210,000",97.0%,2008.10.21
충주 2계 2007-8262,대지,충북 충주시 연수동 1672,"318,859,200","179,358,000",낙찰(2/3),"198,000,000",62.1%,2008.09.16
충주 3계 2007-8279,공장,"충북 충주시 동량면 조동리 1056-4 ,1056-5 나동","332,470,000","140,261,000",기각(3/3),0,0%,2008.08.28
충주 1계 2007-8286(1),전,충북 충주시 앙성면 능암리 700-4,"398,400,000","224,100,000",기각(2/2),0,0%,2008.10.07
충주 2계 2007-8293,아파트,"충북 충주시 연수동 1227 , 1228, 1231 연수 116동 5층 506호","42,000,000","31,500,000",낙찰(1/2),"37,090,000",88.3%,2008.08.12
충주 2계 2007-8323(1),답,충북 충주시 신니면 광월리 651,"43,131,000","43,131,000",낙찰(0/1),"55,590,000",128.9%,2008.07.08
