사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
울산 1계 1998-52096,상가,"경남 양산시 덕계동 718-45 ,203-2 웅상프라자상가 1층13호","37,000,000","7,759,450",낙찰(10/13),"8,300,000",22.4%,2001.01.05
울산 1계 1998-52096,상가,"경남 양산시 덕계동 718-45 ,203-2 웅상프라자상가 1층14호","37,000,000","7,759,450",낙찰(9/12),"8,300,000",22.4%,2001.01.05
울산 1계 1998-52096,상가,"경남 양산시 덕계동 718-45 ,203-2 웅상프라자상가 1층15호","37,000,000","7,759,450",낙찰(10/13),"8,300,000",22.4%,2001.01.05
울산 1계 1998-52096,상가,"경남 양산시 덕계동 718-45 ,203-2 웅상프라자상가 1층16호","115,000,000","24,117,240",낙찰(10/13),"25,300,000",22.0%,2001.01.05
울산 6계 1998-61953,대지,경남 양산시 북정동 687-2,"12,496,000","4,094,689",낙찰(5/6),"4,560,000",36.5%,2001.02.07
울산 3계 1998-69261,대지,경남 양산시 물금읍 물금리 406-50,"83,160,000","21,799,880",낙찰(9/12),0,0%,2001.02.16
울산 4계 1999-1651(20),전,경남 양산시 하북면 삼감리 125-1,"161,006,000","128,804,800",낙찰(1/2),"129,500,000",80.4%,2001.05.25
울산 4계 1999-6472,연립,경남 양산시 교동 245-2,"50,000,000","32,000,000",낙찰(2/3),"35,550,000",71.1%,2001.01.26
울산 3계 1999-17946,임야,경남 양산시 어곡동 15-1,"36,641,000","12,006,520",낙찰(5/7),"12,500,000",34.1%,2001.04.13
울산 3계 1999-17946,임야,경남 양산시 어곡동 15-2,"1,102,000","361,090",낙찰(5/7),"400,000",36.3%,2001.04.13
울산 3계 1999-17946,임야,경남 양산시 어곡동 15-3,"22,680,000","7,431,770",낙찰(5/7),"8,000,000",35.3%,2001.04.13
울산 3계 1999-17946,임야,경남 양산시 어곡동 15-4,"38,610,000","12,648,440",낙찰(5/7),"13,000,000",33.7%,2001.04.13
울산 3계 1999-17946,임야,경남 양산시 어곡동 15-5,"2,268,000","743,160",낙찰(5/7),"900,000",39.7%,2001.04.13
울산 3계 1999-17946,임야,경남 양산시 어곡동 15-6,"45,000","14,740",낙찰(5/7),"20,000",44.4%,2001.04.13
울산 3계 1999-17946,임야,경남 양산시 어곡동 15-7,"4,995,000","1,636,760",낙찰(5/7),"2,000,000",40.0%,2001.04.13
울산 3계 1999-17946,임야,경남 양산시 어곡동 15-8,"22,968,000","7,526,140",낙찰(5/7),"8,000,000",34.8%,2001.04.13
울산 1계 1999-18932,근린상가,경남 양산시 덕계동 718-45,"38,000,000","6,375,330",낙찰(8/10),"6,515,000",17.1%,2001.01.05
울산 4계 1999-20072,근린주택,경남 양산시 남부동 474-16,"30,000,000","5,033,150",낙찰(9/10),"6,100,000",20.3%,2001.03.30
울산 3계 1999-20836,상가,경남 양산시 덕계동 718-45 외,"62,000,000","10,401,860",낙찰(8/9),"12,000,000",19.4%,2001.04.13
울산 4계 1999-23750,답,경남 양산시 덕계동 733-7,"210,600,000","69,009,400",낙찰(5/7),"93,210,000",44.3%,2001.04.27
울산 4계 1999-23750(4),답,경남 양산시 덕계동 735-3,"283,290,000","181,305,600",변경(2/2),0,0%,2001.06.29
울산 4계 1999-23750,근린상가,"경남 양산시 덕계동 732-2 732-6,732-13,732-20,736-21,737-4,737-21,811-75,811-78","222,418,660",0,낙찰(0/1),"222,550,000",100.1%,2001.04.27
울산 4계 1999-23750(19),근린상가,경남 양산시 덕계동 732-2 외9 제3호,"409,317,000","261,962,880",유찰(3/3),0,0%,2001.06.29
울산 3계 1999-28083,임야,경남 양산시 북정동 산45-1,"861,254,000",0,낙찰(10/11),"126,000,000",14.6%,2001.03.16
울산 3계 1999-28083(2),임야,경남 양산시 북정동 산45-8,"423,342,000","36,364,790",낙찰(11/13),"47,700,000",11.3%,2001.06.05
울산 6계 1999-28557,전,경남 양산시 산막동 94-1,"12,384,000","1,329,720",낙찰(10/13),"1,850,000",14.9%,2001.04.04
울산 6계 1999-28557,전,경남 양산시 산막동 96,"2,398,000","257,482",낙찰(10/13),"260,000",10.8%,2001.04.04
울산 2계 1999-30598,단독주택,경남 양산시 상북면 소토리 241-1,"122,178,000","32,028,220",낙찰(12/15),"36,000,000",29.5%,2001.04.10
울산 4계 1999-32914,연립,"경남 양산시 다방동 441-2 ,441-3","95,000,000","31,129,600",낙찰(9/11),"40,500,000",42.6%,2001.01.26
울산 4계 1999-38196,연립,경남 양산시 명동 703-19 202호,"30,000,000","9,830,400",낙찰(9/11),"12,000,000",40.0%,2001.05.25
울산 7계 1999-39458,근린상가,경남 양산시 동면 300 외5필지,"62,000,000","20,316,160",낙찰(5/6),"22,300,000",36.0%,2001.01.31
울산 5계 1999-39465,상가,경남 양산시 동면 석산리300외5,"42,000,000","7,046,424",낙찰(8/10),"7,540,000",18.0%,2001.02.15
