사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대구 5계 2024-110425,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-327 동광물류센터내 보관,"15,000,000","10,500,000",낙찰,"14,660,000",97.70%,2024-10-14,2024_4Q,3
대구 6계 2024-110432,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 415-3 대구오토마트내 보관,"25,000,000","17,500,000",낙찰,"21,555,000",86.20%,2024-09-27,2024_3Q,3
대구 4계 2024-110630,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 416 오토마트대구보관소내 보관,"60,000,000","42,000,000",낙찰,"52,900,000",88.20%,2024-09-19,2024_3Q,3
대구 5계 2024-110647,오피스텔,오피스텔,오피스텔(업무용),대구,수성구,대구 수성구 범어동 551-7 범어네거리클래시아 4층 401호,"200,000,000","200,000,000",낙찰,"210,010,000",105.00%,2024-10-14,2024_4Q,3
대구 8계 2024-110661,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 415-3 대구오토마트내 보관(채권자 폭스바겐파이낸셜서비스코리아 보관),"130,000,000","63,700,000",낙찰,"87,260,000",67.10%,2024-10-18,2024_4Q,3
대구 9계 2024-110906,아파트,아파트,아파트,대구,북구,대구 북구 사수동 789 브라운스톤강북 306동 15층 1505호,"195,000,000","136,500,000",낙찰,"159,888,000",82.00%,2024-12-12,2024_4Q,3
대구 5계 2024-110968,단독주택,단독,단독주택,대구,북구,대구 북구 태전동 945-16,"491,800,950","168,688,000",낙찰,"245,500,000",49.90%,2024-12-16,2024_4Q,3
대구 9계 2024-111008,아파트,아파트,아파트,대구,동구,대구 동구 신천동 171-4 감리 2층 201호,"180,000,000","126,000,000",낙찰,"135,070,000",75.00%,2024-12-12,2024_4Q,3
대구 6계 2024-111183,차량,기타토지,기타토지,대구,수성구,대구 수성구 가천동 122-4 가천동차량보관소(채권자한국캐피탈)내 보관,"32,000,000","22,400,000",낙찰,"24,200,000",75.60%,2024-10-17,2024_4Q,3
대구 5계 2024-111282,아파트,아파트,아파트,대구,북구,대구 북구 복현동 539-110 복현서한타운 103동 11층 1102호,"251,000,000","175,700,000",낙찰,"185,899,000",74.10%,2024-10-14,2024_4Q,3
대구 3계 2024-111688,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-106 동광물류(채권자 제이비우리캐피탈)내 보관,"12,000,000","8,400,000",낙찰,"10,560,000",88.00%,2024-10-22,2024_4Q,3
대구 4계 2024-111695,차량,기타토지,기타토지,대구,수성구,대구 수성구 가천동 122-4 내 보관,"18,000,000","8,820,000",낙찰,"9,627,000",53.50%,2024-10-21,2024_4Q,3
대구 11계 2024-111756,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 416 오토마트대구보관소내 보관(채권자 비엠더블유파이낸셜서비스코리아에게 보관),"10,000,000","7,000,000",낙찰,"7,360,000",73.60%,2024-10-15,2024_4Q,3
대구 1계 2024-111985,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-106 동광물류(채권자:신한카드)내보관,"7,000,000","3,430,000",낙찰,"4,900,000",70.00%,2024-11-18,2024_4Q,3
대구 8계 2024-112254,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 415-3 대구오토마트내 보관(채권자 BMW파이낸셜서비스코리아 보관),"92,000,000","64,400,000",낙찰,"88,050,000",95.70%,2024-09-25,2024_3Q,3
대구 5계 2024-112452,아파트,아파트,아파트,대구,북구,대구 북구 침산동 1750 침산동2차쌍용예가 103동 5층 506호,"370,000,000","259,000,000",낙찰,"333,270,000",90.10%,2024-10-14,2024_4Q,3
대구 1계 2024-112520,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-106 노상주차장(동광물류)내 보관(집행관에게 보관),"7,500,000","3,675,000",낙찰,"4,531,500",60.40%,2024-12-24,2024_4Q,3
대구 5계 2024-112551,아파트,아파트,아파트,대구,수성구,대구 수성구 지산동 1272-2 지산에덴 102동 8층 802호,"268,000,000","187,600,000",낙찰,"210,025,000",78.40%,2024-10-14,2024_4Q,3
대구 3계 2024-112643,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-106 동광물류(채권자 제이비우리캐피탈)내 보관,"26,000,000","12,740,000",낙찰,"17,211,000",66.20%,2024-11-21,2024_4Q,3
대구 8계 2024-113141,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-106 동광물류(집행관 강태수)내 보관,"9,000,000","4,410,000",낙찰,"6,020,000",66.90%,2024-12-20,2024_4Q,3
대구 2계 2024-113288,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 416 내 보관(채권자 밀리언캐쉬대부에게 보관),"35,000,000","24,500,000",낙찰,"28,550,000",81.60%,2024-10-24,2024_4Q,3
대구 5계 2024-113424,아파트,아파트,아파트,대구,북구,대구 북구 서변동 1724 서변청아람 103동 1층 101호,"134,000,000","93,800,000",낙찰,"105,008,585",78.40%,2024-11-11,2024_4Q,3
대구 5계 2024-113530,아파트,아파트,아파트,대구,동구,대구 동구 봉무동 1537 협성휴포레이시아폴리스 105동 7층 703호,"370,000,000","259,000,000",낙찰,"317,107,100",85.70%,2024-11-11,2024_4Q,3
대구 10계 2024-113905,중기,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-106 동광물류내 보관(채권자 (주)애큐온캐피탈에게 보관),"35,000,000","35,000,000",낙찰,"36,000,000",102.90%,2024-10-25,2024_4Q,3
대구 2계 2024-114045,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1396-106 동광물류내 보관,"13,500,000","9,450,000",낙찰,"9,899,900",73.30%,2024-11-28,2024_4Q,3
대구 10계 2024-114137,차량,기타토지,기타토지,대구,수성구,대구 수성구 가천동 122-4 내 보관(채권자 오릭스캐피탈코리아 보관),"13,000,000","6,370,000",낙찰,"9,080,000",69.80%,2024-11-22,2024_4Q,3
대구 10계 2024-114311,차량,기타토지,기타토지,대구,수성구,대구 수성구 가천동 122-4 내 보관(집행관 박원길에게 보관),"13,000,000","9,100,000",낙찰,"11,120,000",85.50%,2024-12-26,2024_4Q,3
대구 5계 2024-114601,아파트,아파트,아파트,대구,수성구,대구 수성구 범어동 614-3 태왕유성하이빌 102동 18층 1801호,"650,000,000","455,000,000",낙찰,"572,000,000",88.00%,2024-11-11,2024_4Q,3
대구 5계 2024-114823,오피스텔(주거),오피스텔,오피스텔(업무용),대구,동구,대구 동구 신천동 331-1 부띠끄시티테라스 8층 820호,"68,000,000","47,600,000",낙찰,"47,700,000",70.10%,2024-11-11,2024_4Q,3
대구 4계 2024-114915,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-327 동광물류내 보관,"22,000,000","15,400,000",낙찰,"17,770,000",80.80%,2024-12-17,2024_4Q,3
대구 8계 2024-115055,차량,기타토지,기타토지,대구,수성구,대구 수성구 가천동 122-4 자동차보관소(채권자한국캐피탈대표이사정상철에게)내보관,"12,000,000","12,000,000",낙찰,"12,270,000",102.30%,2024-11-15,2024_4Q,3
대구 5계 2024-115130,아파트,아파트,아파트,대구,북구,"대구 북구 칠성동2가 2-2 ,침산동 385-8 침산1차푸르지오 105동 28층 2808호","460,000,000","322,000,000",낙찰,"423,900,000",92.20%,2024-11-11,2024_4Q,3
대구 3계 2024-115666,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 416 오토마트내 보관(채권자대리인:안효준),"17,000,000","11,900,000",낙찰,"12,599,000",74.10%,2024-11-21,2024_4Q,3
대구 4계 2024-115789,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 416 오토마트대구보관소옥외주차장내 보관,"39,000,000","27,300,000",낙찰,"34,810,000",89.30%,2024-12-17,2024_4Q,3
대구 5계 2024-115901,아파트,아파트,아파트,대구,수성구,대구 수성구 시지동 499 노변다숲 103동 8층 808호,"172,000,000","120,400,000",낙찰,"134,677,009",78.30%,2024-12-16,2024_4Q,3
대구 2계 2024-115987,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-327 동광물류내 보관(채권자 현대캐피탈(주) 대표이사 정형진에게 보관),"16,000,000","11,200,000",낙찰,"13,510,000",84.40%,2024-12-27,2024_4Q,3
대구 5계 2024-116362,아파트,아파트,아파트,대구,수성구,대구 수성구 범물동 1269 범물영남보성 101동 9층 901호,"407,000,000","284,900,000",낙찰,"330,000,000",81.10%,2024-11-11,2024_4Q,3
대구 6계 2024-116485,차량,기타토지,기타토지,대구,수성구,대구 수성구 가천동 122-4 내 보관(집행관 강태수에게보관),"10,000,000","7,000,000",낙찰,"8,250,000",82.50%,2024-12-19,2024_4Q,3
대구 4계 2024-116577,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 415-3 대구오토마트(채권자BMW파이낸셜서비스코리아)내 보관,"32,000,000","22,400,000",낙찰,"26,333,000",82.30%,2024-11-20,2024_4Q,3
대구 3계 2024-117327,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 415-3 대구오토마트채권자내 보관(대리인:최지호),"23,000,000","16,100,000",낙찰,"21,111,000",91.80%,2024-11-21,2024_4Q,3
대구 1계 2024-117525,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 416 오토마트 대구보관소내 보관(집행관 권용석에게 보관),"26,000,000","18,200,000",낙찰,"18,300,000",70.40%,2024-11-18,2024_4Q,3
대구 5계 2024-117556,아파트,아파트,아파트,대구,수성구,"대구 수성구 상동 72 ,72-2 정화우방팔레스 103동 16층 1607호","432,000,000","302,400,000",낙찰,"383,120,000",88.70%,2024-12-16,2024_4Q,3
대구 5계 2024-118108,차량,기타토지,기타토지,대구,북구,대구 북구 검단동 1393-106 동광물류주차장내 보관,"10,000,000","10,000,000",낙찰,"10,777,888",107.80%,2024-12-16,2024_4Q,3
대구 6계 2024-118115,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 415-3 오토마트대구보관소(집행관 권용석)내 보관,"62,000,000","43,400,000",낙찰,"48,250,000",77.80%,2024-12-19,2024_4Q,3
대구 4계 2024-118207,차량,기타토지,기타토지,대구,북구,대구 북구 금호동 415-3 대구오토마트내 보관,"47,000,000","32,900,000",낙찰,"33,120,000",70.50%,2024-12-17,2024_4Q,3
대구 5계 2024-119637,차량,기타토지,기타토지,대구,수성구,대구 수성구 가천동 122-4 내 보관,"4,000,000","4,000,000",낙찰,"4,011,000",100.30%,2024-12-16,2024_4Q,3
대구 2계 2024-119705,차량,기타토지,기타토지,대구,수성구,대구 수성구 가천동 122-4 내 보관(채권자 메리츠캐피탈(주) 대표이사 싱가포르인 권태에게 보관),"20,000,000","14,000,000",낙찰,"14,330,000",71.70%,2024-12-27,2024_4Q,3
의성 1계 2023-83(3),공장,공장(지식산업센터 업무시설),공장,대구,군위군,"대구 군위군 의흥면 이지리 1266-10 ,1266-12","243,597,240","119,363,000",낙찰,"151,290,000",62.10%,2024-07-17,2024_3Q,3
의성 2계 2023-434,축사,기타토지,기타토지,대구,군위군,대구 군위군 의흥면 원산리 393-1,"424,613,300","297,229,000",낙찰,"308,990,000",72.80%,2024-11-20,2024_4Q,3
의성 1계 2023-588(3),임야,임야,임야,대구,군위군,대구 군위군 효령면 금매리 106,"73,002,000","25,040,000",낙찰,"31,600,000",43.30%,2024-11-13,2024_4Q,3
의성 2계 2023-793,임야,임야,임야,대구,군위군,대구 군위군 효령면 금매리 산92-12,"230,700,800","161,491,000",낙찰,"162,110,000",70.30%,2024-10-23,2024_4Q,3
의성 2계 2023-10660,임야,임야,임야,대구,군위군,대구 군위군 삼국유사면 화북리 산232-18,"69,083,000","23,696,000",낙찰,"27,516,000",39.80%,2024-07-24,2024_3Q,3
의성 2계 2023-10806(1),임야,임야,임야,대구,군위군,대구 군위군 산성면 화전리 1065,"188,100,000","131,670,000",낙찰,"152,650,000",81.20%,2024-08-21,2024_3Q,3
의성 2계 2023-10806(2),답,답,답,대구,군위군,대구 군위군 산성면 화본리 822-2,"94,966,000","94,966,000",낙찰,"124,800,000",131.40%,2024-07-24,2024_3Q,3
의성 2계 2023-10806(3),전,전,전,대구,군위군,대구 군위군 산성면 화전리 76,"99,168,000","48,593,000",낙찰,"53,900,000",54.40%,2024-09-11,2024_3Q,3
의성 2계 2023-10882(1),임야,임야,임야,대구,군위군,대구 군위군 우보면 문덕리 771,"7,838,000","1,882,000",낙찰,"2,001,000",25.50%,2024-07-24,2024_3Q,3
의성 2계 2023-10882(2),답,답,답,대구,군위군,대구 군위군 우보면 문덕리 1057,"10,146,000","2,436,000",낙찰,"2,800,000",27.60%,2024-07-24,2024_3Q,3
의성 1계 2023-10899,답,답,답,대구,군위군,대구 군위군 군위읍 사직리 302-2,"26,214,250","8,992,000",낙찰,"9,270,000",35.40%,2024-08-14,2024_3Q,3
의성 1계 2023-10967,임야,임야,임야,대구,군위군,대구 군위군 효령면 장기리 산64,"102,069,360","35,010,000",낙찰,"36,889,000",36.10%,2024-08-14,2024_3Q,3
의성 2계 2023-10998,단독주택,단독,단독주택,대구,군위군,대구 군위군 효령면 장기리 990,"210,677,930","103,233,000",낙찰,"170,000,000",80.70%,2024-07-24,2024_3Q,3
의성 1계 2023-11427,전,전,전,대구,군위군,대구 군위군 산성면 화본리 799,"8,417,500","5,892,000",낙찰,"7,010,000",83.30%,2024-08-14,2024_3Q,3
