사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
울산 3계 2023-101211,임야,임야,임야,울산,울주군,울산 울주군 범서읍 구영리 산194-22,"84,640,000","14,225,000",낙찰,"21,000,000",24.8%,2024-04-23,2024_2Q,3
울산 4계 2023-101310,숙박시설,숙박시설,숙박시설,울산,북구,울산 북구 호계동 752-8,"931,580,650","319,532,000",낙찰,"431,000,000",46.3%,2024-03-26,2024_1Q,3
울산 3계 2023-101365,단독주택,단독,단독주택,울산,중구,울산 중구 장현동 143-7,"871,427,680","609,999,000",낙찰,"670,000,000",76.9%,2024-01-09,2024_1Q,3
울산 4계 2023-101372,도로,기타토지,기타토지,울산,중구,울산 중구 남외동 467-25,"36,834,000","25,784,000",낙찰,"28,599,000",77.6%,2024-01-16,2024_1Q,3
울산 6계 2023-101433(1),근린상가,근린상가,근린상가,울산,울주군,울산 울주군 두서면 전읍리 219-3,"1,156,437,260","396,658,000",낙찰,"466,700,000",40.4%,2024-04-04,2024_2Q,3
울산 2계 2023-101594,아파트,아파트,아파트,울산,동구,"울산 동구 방어동 120-10 ,120-11 등대국민 3층 306호","73,000,000","35,770,000",낙찰,"56,940,000",78.0%,2024-01-03,2024_1Q,3
울산 5계 2023-101624,주상복합(상가),기타토지,기타토지,울산,울주군,"울산 울주군 언양읍 동부리 363-2 ,363-18 센텀 1층 102호","405,000,000","283,500,000",낙찰,"341,900,000",84.4%,2024-01-10,2024_1Q,3
울산 9계 2023-102078,아파트,아파트,아파트,울산,울주군,울산 울주군 삼남읍 교동리 1522-5 태봉파크 103동 3층 306호,"69,000,000","48,300,000",낙찰,"60,220,000",87.3%,2024-01-17,2024_1Q,3
울산 3계 2023-102115,오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 1875 극동스타클래스 5층 507호,"307,000,000","150,430,000",낙찰,"187,800,000",61.2%,2024-01-09,2024_1Q,3
울산 2계 2023-102245,근린상가,근린상가,근린상가,울산,울주군,"울산 울주군 온양읍 대안리 192-15 ,192-14","2,187,749,160","1,071,997,000",낙찰,"1,335,000,000",61.0%,2024-01-03,2024_1Q,3
울산 6계 2023-102283,위락시설,기타건물,기타건물,울산,남구,울산 남구 달동 1249-6,"2,871,750,580","985,011,000",낙찰,"1,417,000,000",49.3%,2024-05-09,2024_2Q,3
울산 8계 2023-102306,답,답,답,울산,북구,울산 북구 중산동 359-2,"210,059,000","72,050,000",낙찰,"86,020,000",41.0%,2024-03-21,2024_1Q,3
울산 8계 2023-102511,아파트,아파트,아파트,울산,남구,"울산 남구 야음동 594-10 ,594-37,신정동 851-20,851-21 신정현대홈타운 201동 7층 707호","270,000,000","189,000,000",낙찰,"241,777,000",89.5%,2024-01-11,2024_1Q,3
울산 4계 2023-102818,다세대,다세대주택,다세대,울산,남구,울산 남구 무거동 1004-2 다흥그린빌3차 3층 301호,"165,000,000","115,500,000",낙찰,"121,990,000",73.9%,2024-01-16,2024_1Q,3
울산 7계 2023-102894,아파트,아파트,아파트,울산,남구,"울산 남구 달동 775-6 ,792-1,1373-2,1374-1 어울림 103동 15층 1504호","272,000,000","190,400,000",낙찰,"231,050,000",84.9%,2024-03-28,2024_1Q,3
