사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
광주 2계 2002-9088(48),아파트,아파트,아파트,광주,광산구,"광주 광산구 우산동 1050-2 ,-5 장미빌라트 상가동 지하층 101호","24,000,000","4,026,520",낙찰,"4,500,000",18.80%,2003-11-18,2003_4Q,3
광주 7계 2002-9989,연립,연립주택,연립·빌라,광주,북구,광주 북구 용봉동 1236-1 국민주택 30동 2층 201호,"43,000,000","43,000,000",낙찰,"53,100,000",123.50%,2003-11-19,2003_4Q,3
광주 6계 2002-11760(1),공장,공장(지식산업센터 업무시설),공장,광주,광산구,광주 광산구 양동 685-3,"393,818,300","103,237,100",낙찰,"120,000,000",30.50%,2003-10-02,2003_4Q,3
광주 5계 2002-11982,도로,기타토지,기타토지,광주,북구,광주 북구 우산동 168-23,"4,640,000","777,000",기각,0,0%,2003-10-21,2003_4Q,3
광주 5계 2002-13933,아파트,아파트,아파트,광주,북구,광주 북구 오치동 972-1 양지 가동 505호,"45,000,000","14,745,000",낙찰,"15,100,000",33.60%,2003-11-27,2003_4Q,3
광주 1계 2002-14134(2),상가,근린상가,근린상가,광주,동구,광주 동구 학동 85-13 남광주농수산물종합상가 1층 130호,"69,000,000","18,088,000",낙찰,"18,200,000",26.40%,2003-11-25,2003_4Q,3
광주 4계 2002-14349,단독주택,단독,단독주택,광주,광산구,광주 광산구 요기동 173-2,"95,678,020","39,189,700",낙찰,"45,020,000",47.10%,2003-10-14,2003_4Q,3
광주 3계 2002-15069(1),대지,나대지,나대지,광주,북구,광주 북구 유동 15-7,"1,950,000","409,000",낙찰,"411,000",21.10%,2003-11-04,2003_4Q,3
광주 3계 2002-15069(2),대지,나대지,나대지,광주,북구,광주 북구 유동 15-12,"7,650,000","1,604,000",낙찰,"1,605,100",21.00%,2003-11-04,2003_4Q,3
광주 5계 2002-16123,대지,나대지,나대지,광주,광산구,광주 광산구 복룡동 615-2,"57,970,000","37,100,000",기각,0,0%,2003-11-19,2003_4Q,3
광주 3계 2002-17386,아파트,아파트,아파트,광주,남구,광주 남구 백운동 419 대흥백운스카이1차 101동 1503호,"135,000,000","86,400,000",낙찰,"92,760,000",68.70%,2003-12-09,2003_4Q,3
광주 7계 2002-18433,아파트,아파트,아파트,광주,북구,광주 북구 용두동 296-1 성진 B동 3층 307호,"43,000,000","22,016,000",낙찰,"23,500,000",54.70%,2003-12-24,2003_4Q,3
