사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
울산 5계 2007-18357,아파트,아파트,아파트,울산,울주군,울산 울주군 웅촌면 대복리 302 장백공공임대 706동 2층 202호,"37,000,000","23,680,000",낙찰,"32,500,000",87.8%,2008-02-21,2008_1Q,3
울산 8계 2007-18883,다세대,다세대주택,다세대,울산,북구,울산 북구 중산동 1166-88 이화빌라 4층 401호,"40,000,000","40,000,000",낙찰,"45,000,000",112.5%,2008-05-28,2008_2Q,3
울산 6계 2007-18937(1),임야,임야,임야,울산,북구,울산 북구 양정동 산33-1,"17,770,550","14,216,000",낙찰,"20,425,000",114.9%,2008-01-15,2008_1Q,3
울산 6계 2007-18937(2),임야,임야,임야,울산,북구,울산 북구 양정동 산33-5,"99,550","64,000",취하,0,0%,2008-04-17,2008_2Q,3
울산 7계 2007-19046,다세대,다세대주택,다세대,울산,남구,울산 남구 달동 630-1 신신빌라 3층 302호,"97,000,000","97,000,000",낙찰,"99,130,000",102.2%,2008-03-24,2008_1Q,3
울산 8계 2007-19053,아파트,아파트,아파트,울산,동구,울산 동구 화정동 653-5 여명빌라 4층 402호,"100,000,000","100,000,000",낙찰,"111,890,000",111.9%,2008-04-30,2008_2Q,3
울산 4계 2007-19091(1),다세대,다세대주택,다세대,울산,동구,울산 동구 화정동 866-15 화정동다세대 3층 302호,"85,000,000","68,000,000",낙찰,"80,000,000",94.1%,2008-01-10,2008_1Q,3
울산 4계 2007-19091(2),다세대,다세대주택,다세대,울산,동구,울산 동구 화정동 866-15 화정동다세대 4층 402호,"85,000,000","68,000,000",낙찰,"80,110,000",94.2%,2008-01-10,2008_1Q,3
울산 6계 2007-19114(1),다세대,다세대주택,다세대,울산,동구,울산 동구 화정동 866-15 화정동다세대 3층 301호,"80,000,000","64,000,000",낙찰,"77,110,000",96.4%,2008-01-15,2008_1Q,3
울산 6계 2007-19114(2),다세대,다세대주택,다세대,울산,동구,울산 동구 화정동 866-15 화정동다세대 4층 401호,"85,000,000","68,000,000",낙찰,"82,500,000",97.1%,2008-01-15,2008_1Q,3
울산 6계 2007-19114(3),다세대,다세대주택,다세대,울산,동구,울산 동구 화정동 866-15 화정동다세대 5층 501호,"85,000,000","68,000,000",낙찰,"72,650,000",85.5%,2008-01-15,2008_1Q,3
울산 8계 2007-19206,전,전,전,울산,울주군,울산 울주군 웅촌면 곡천리 575,"14,934,000","7,646,000",낙찰,"9,100,000",60.9%,2008-02-28,2008_1Q,3
