사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
남부 3계 2024-130310,오피스텔(주거),오피스텔,오피스텔(업무용),서울,금천구,"서울 금천구 독산동 962-42 ,962-43 더뷰 3층 304호","216,592,000","56,778,000",낙찰,"56,778,000",26.2%,2026-04-30,2026_2Q,0
남부 15계 2024-130433,다세대,다세대주택,다세대,서울,강서구,"서울 강서구 화곡동 1017-24 ,1017-26 동우하이빌 5층 501호","256,000,000","163,840,000",낙찰,"184,990,000",72.3%,2026-04-23,2026_2Q,0
남부 16계 2024-130860,다세대,다세대주택,다세대,서울,영등포구,서울 영등포구 당산동1가 181 썬샤인 2층 201호,"236,000,000","236,000,000",유찰,0,0%,2026-04-28,2026_2Q,0
남부 16계 2024-134572,다세대,다세대주택,다세대,서울,강서구,서울 강서구 화곡동 348-12 명가 3층 303호,"302,000,000","193,280,000",낙찰,"195,116,160",64.6%,2026-04-28,2026_2Q,0
남부 5계 2024-135346,다세대,다세대주택,다세대,서울,영등포구,서울 영등포구 신길동 386-1 상아빌라 지하층 2호,"293,000,000","150,016,000",낙찰,"150,100,000",51.2%,2026-04-09,2026_2Q,0
남부 7계 2024-136318,빌딩,기타건물,기타건물,서울,영등포구,서울 영등포구 대림동 737-8,"2,740,699,380","1,403,238,000",낙찰,"1,484,000,000",54.1%,2026-04-21,2026_2Q,0
남부 9계 2024-136554,아파트,아파트,아파트,서울,강서구,서울 강서구 등촌동 687 등촌2단지주공 201동 11층 1103호,"552,000,000","441,600,000",낙찰,"643,700,000",116.6%,2026-04-07,2026_2Q,0
남부 14계 2024-136592,다세대,다세대주택,다세대,서울,양천구,서울 양천구 신월동 532-5 우림빌라 가동 지하층 1호,"202,000,000","161,600,000",기각,0,0%,2026-04-02,2026_2Q,0
남부 14계 2024-136684,다세대,다세대주택,다세대,서울,금천구,서울 금천구 가산동 235-46 세교예지안10차 9층 902호,"259,000,000","207,200,000",낙찰,"250,030,000",96.5%,2026-04-22,2026_2Q,0
남부 5계 2024-138437,오피스텔(주거),오피스텔,오피스텔(업무용),서울,강서구,서울 강서구 마곡동 784 마곡경동미르웰 101동 8층 803호,"143,000,000","91,520,000",낙찰,"105,122,000",73.5%,2026-04-09,2026_2Q,0
남부 10계 2024-138772,아파트,아파트,아파트,서울,양천구,서울 양천구 신정동 918-1 훼미리 5층 502호,"520,000,000","332,800,000",취하,0,0%,2026-04-01,2026_2Q,0
남부 14계 2024-138871,아파트형공장,공장(지식산업센터 업무시설),공장,서울,구로구,서울 구로구 구로동 197-28 이앤씨벤처드림타워6차 4층 410호,"770,000,000","315,392,000",낙찰,"315,410,000",41.0%,2026-04-22,2026_2Q,0
남부 10계 2024-139119,아파트,아파트,아파트,서울,금천구,서울 금천구 가산동 143-6 가산지웰에스테이트2차 1동 6층 622호,"162,000,000","82,944,000",낙찰,"85,999,999",53.1%,2026-04-01,2026_2Q,0
남부 5계 2024-140256(4),아파트형공장,공장(지식산업센터 업무시설),공장,서울,금천구,서울 금천구 가산동 680 우림라이온스밸리 2차 10층 1014호,"1,324,000,000","847,360,000",낙찰,"847,367,000",64.0%,2026-04-09,2026_2Q,0
남부 14계 2024-140317,다세대,다세대주택,다세대,서울,강서구,서울 강서구 화곡동 392-27 살렘하우스 1층 101호,"208,000,000","133,120,000",낙찰,"138,999,999",66.8%,2026-04-22,2026_2Q,0
남부 6계 2024-140515,다세대,다세대주택,다세대,서울,금천구,"서울 금천구 독산동 1031-30 ,1031-28,1031-29 돌체비타타워 13층 1307호","156,000,000","79,872,000",낙찰,"145,000,000",92.9%,2026-04-14,2026_2Q,0
남부 4계 2024-142597,다세대,다세대주택,다세대,서울,양천구,서울 양천구 신월동 148-19 나우리치빌 6층 601호,"119,000,000","76,160,000",낙찰,"85,300,000",71.7%,2026-04-16,2026_2Q,0
남부 2계 2024-142634,다세대,다세대주택,다세대,서울,구로구,서울 구로구 온수동 23 아델리안 가동 3층 302호,"279,000,000","223,200,000",낙찰,"274,940,000",98.5%,2026-04-08,2026_2Q,0
남부 4계 2024-144753,오피스텔(주거),오피스텔,오피스텔(업무용),서울,영등포구,서울 영등포구 양평동6가 8 펫앤스테이 12층 1202호,"197,000,000","126,080,000",낙찰,"141,100,000",71.6%,2026-04-16,2026_2Q,0
남부 5계 2024-146773,근린주택,근린주택,근린주택,서울,양천구,"서울 양천구 신월동 22-8 ,22-9 다움하우스","2,796,730,000","1,431,926,000",낙찰,"1,720,000,000",61.5%,2026-04-09,2026_2Q,0
남부 7계 2024-146797,다가구,다가구,다가구,서울,강서구,서울 강서구 화곡동 1081-16 에이브릴하우스1,"2,477,261,000","1,981,809,000",낙찰,"2,028,870,000",81.9%,2026-04-21,2026_2Q,0
남부 5계 2024-147417,다세대,다세대주택,다세대,서울,구로구,"서울 구로구 구로동 317-140 ,317-98,429-197 행복드림빌라 1동 6층 601호","268,000,000","137,216,000",낙찰,"255,000,000",95.1%,2026-04-09,2026_2Q,0
남부 7계 2024-147684,주상복합(주거),기타토지,기타토지,서울,양천구,서울 양천구 목동 908-28 부영그린타운2차 19층 1908호,"1,940,000,000","1,552,000,000",변경,0,0%,2026-04-21,2026_2Q,0
